Monika Kisieliūtė, papildomų studijų I kursas
L1;L2;L3;L4;L5;L6
86;Efcwev 55;36;-15;-48;15
85;Efcwev 55;-90;-16;93;29
84;Efcwev 55;21;-17;51;-13
83;Efcwev 55;65;-18;31;82
82;Efcwev 55;-36;-19;-34;85
81;Efcwev 55;-56;-20;82;-51
80;Efcwev 55;49;-21;23;21
79;Efcwev 55;15;-22;-24;-53
78;Efcwev 55;-16;-23;-46;78
77;Efcwev 55;96;-24;-7;79
76;Efcwev 55;84;-25;-13;-70
75;Efcwev 55;28;-26;57;-85
74;Efcwev 55;27;-27;58;45
73;Efcwev 55;-78;-28;-60;-81
72;Efcwev 55;2;-29;-25;-18
71;Efcwev 55;2;-30;75;-48
70;Efcwev 55;18;-31;-22;33
69;Efcwev 55;43;-32;-6;100
68;Efcwev 55;-50;-33;-82;94
67;Efcwev 55;13;-34;-21;15
66;Efcwev 55;-23;-35;89;-63
65;Efcwev 55;20;-36;23;-88
64;Efcwev 55;-100;-37;80;-42
63;Efcwev 55;-46;-38;5;55
62;Efcwev 55;74;-39;75;-12
61;Efcwev 55;-83;-40;85;-96
60;Efcwev 55;72;-41;62;44
59;Efcwev 55;-26;-42;-12;-78
58;Efcwev 55;72;-43;-65;28
57;Efcwev 55;81;-44;-19;-27
56;Efcwev 55;-58;-45;43;73
55;Efcwev 55;-21;-46;69;-39
54;Efcwev 55;-6;-47;-42;-84
53;Efcwev 55;-75;-48;48;44
52;Efcwev 55;4;-49;-14;41
51;Efcwev 55;75;-50;-100;-10
50;Efcwev 55;-77;-51;66;-41
49;Efcwev 55;-1;-52;-2;21
48;Efcwev 55;-10;-53;-37;81
47;Efcwev 55;-94;-54;70;-21
46;Efcwev 55;52;-55;-49;45
45;Efcwev 55;-40;-56;-62;18
44;Efcwev 55;33;-57;20;51
43;Efcwev 55;-29;-58;-92;3
42;Efcwev 55;34;-59;21;99
41;Efcwev 55;-74;-60;-52;7
40;Efcwev 55;-87;-61;-39;64
39;Efcwev 55;40;-62;-11;47
38;Efcwev 55;5;-63;8;57
37;Efcwev 55;-18;-64;11;9
36;Efcwev 55;-64;-65;57;77
35;Efcwev 55;72;-66;-70;-54
34;Efcwev 55;-59;-67;47;43
33;Efcwev 55;-32;-68;55;76
32;Efcwev 55;-35;-69;-57;-96
31;Efcwev 55;-74;-70;14;-90
30;Efcwev 55;10;-71;82;18
29;Efcwev 55;-3;-72;37;8
28;Efcwev 55;-66;-73;41;-13
27;Efcwev 55;18;-74;67;-86
26;Efcwev 55;64;-75;37;-79
25;Efcwev 55;-22;-76;2;-54
24;Efcwev 55;-75;-77;-24;-49
23;Efcwev 55;-84;-78;-2;-20
22;Efcwev 55;-86;-79;22;-36
21;Efcwev 55;-18;-80;73;-34
20;Efcwev 55;25;-81;-76;-49
19;Efcwev 55;15;-82;28;61
18;Efcwev 55;-18;-83;64;-90
17;Efcwev 55;58;-84;91;35
16;Efcwev 55;-19;-85;-33;63
15;Efcwev 55;19;-86;-33;24
14;Efcwev 55;-1;-87;0;68
13;Efcwev 55;73;-88;56;56
12;Efcwev 55;-56;-89;-49;-61
11;Efcwev 55;84;-90;-72;24
10;Efcwev 55;-5;-91;78;-58
9;Efcwev 55;87;-92;40;-84
8;Efcwev 55;47;-93;-93;60
7;Efcwev 55;-76;-94;28;-83
6;Efcwev 55;21;-95;16;32
5;Efcwev 55;48;-96;-14;-20
4;Efcwev 55;0;-97;52;-10
3;Efcwev 55;-70;-98;66;30
2;Efcwev 55;-50;-99;91;-53
1;Efcwev 55;83;-100;47;40
